Timestamp,Temperature (C),Humidity (%)
2024-07-18 11:48:13,24.80,66.30
2024-07-18 11:48:15,24.80,66.30
2024-07-18 11:48:17,24.80,66.40
2024-07-18 11:48:19,24.80,66.50
2024-07-18 11:48:21,24.80,66.50
2024-07-18 11:48:23,24.80,66.40
2024-07-18 11:48:25,24.80,66.20
2024-07-18 11:48:27,24.80,66.10
2024-07-18 11:48:29,24.80,66.00
2024-07-18 11:48:31,24.80,65.80
2024-07-18 11:48:33,24.80,65.60
2024-07-18 11:48:35,24.80,65.50
2024-07-18 11:48:37,24.80,65.50
2024-07-18 11:48:39,24.80,65.50
2024-07-18 11:48:41,24.80,65.60
2024-07-18 11:48:43,24.80,65.60
2024-07-18 11:48:45,24.80,65.50
2024-07-18 11:48:47,24.90,65.30
2024-07-18 11:48:49,24.90,65.30
2024-07-18 11:48:51,24.90,65.20
2024-07-18 11:48:53,24.80,65.10
2024-07-18 11:48:55,24.80,64.90
2024-07-18 11:48:57,24.80,64.80
2024-07-18 11:48:59,24.80,64.80
2024-07-18 11:49:01,24.90,64.80
2024-07-18 11:49:03,24.90,64.90
2024-07-18 11:49:05,24.90,64.90
2024-07-18 11:49:07,24.90,64.80
2024-07-18 11:49:09,24.90,64.70
2024-07-18 11:49:11,24.90,64.60
2024-07-18 11:49:13,24.90,64.50
2024-07-18 11:49:15,24.90,64.30
2024-07-18 11:49:18,24.90,64.10
2024-07-18 11:49:20,24.90,64.00
2024-07-18 11:49:22,24.90,64.00
2024-07-18 11:49:24,24.90,64.00
2024-07-18 11:49:26,24.90,64.10
2024-07-18 11:49:28,24.90,64.20
2024-07-18 11:49:30,24.90,64.20
2024-07-18 11:49:32,24.90,64.20
2024-07-18 11:49:34,24.90,64.10
2024-07-18 11:49:36,24.90,64.10
2024-07-18 11:49:38,24.90,64.00
2024-07-18 11:49:40,24.90,63.70
2024-07-18 11:49:42,24.90,63.50
2024-07-18 11:49:44,24.90,63.50
2024-07-18 11:49:46,24.90,63.50
2024-07-18 11:49:48,24.90,63.60
2024-07-18 11:49:50,24.90,63.70
2024-07-18 11:49:52,24.90,63.80
2024-07-18 11:49:54,24.90,63.70
2024-07-18 11:49:56,24.90,63.40
2024-07-18 11:49:58,24.80,63.30
2024-07-18 11:50:00,24.80,63.10
2024-07-18 11:50:02,24.80,62.90
2024-07-18 11:50:04,24.80,62.80
2024-07-18 11:50:06,24.80,62.80
2024-07-18 11:50:08,24.80,62.80
2024-07-18 11:50:10,24.80,62.90
